Item ID;Review ID;Date;Author;Score;Comment;Positive;Negative;Img
249711848;130672951;2022-01-08 14:10:05;Роуз М.;5;;супер! дети довольны!;;
249711848;132181733;2022-01-10 21:18:02;Ксения П.;5;;;;
249711848;132863283;2022-01-12 05:34:37;Пользователь предпочёл скрыть свои данные;5;Ребёнок доволен;👍;Сломался замок почти сразу;
249711848;133230048;2022-01-12 16:52:13;Пользователь предпочёл скрыть свои данные;5;Пришла быстро, смотрится симпатично;;;
249711848;133771678;2022-01-13 18:06:50;Наталия Г.;5;;;;
249711848;134969421;2022-01-16 18:12:18;Дарья М.;5;;;;
249711848;135124988;2022-02-07 18:13:16;Ульяна К.;2;очьеь обидно, покупала в подарок, товар оказался некачественным.;выглядит, как на фото, симпатичный;спустя 2 недели сломался, хоть и носился аккуратно;
249711848;135332001;2022-01-17 13:38:29;Ирина К.;5;;;;
249711848;135862073;2022-01-18 12:53:13;Пользователь предпочёл скрыть свои данные;5;;;;
249711848;136820383;2022-02-07 09:56:33;Дима С.;5;;;Нет;
249711848;137698474;2022-01-21 16:10:28;Ирина К.;5;;;;
249711848;138428390;2022-01-23 08:30:59;Елена Ш.;5;;;;
249711848;139689036;2022-01-25 11:18:38;Олеся Л.;4;;;Облезла краска;
249711848;140202066;2022-01-26 09:15:57;Сергей Г.;5;;;;
249711848;142115630;2022-01-29 16:36:30;Дарья Н.;5;;;;
249711848;142524157;2022-01-30 13:31:39;Ольга Р.;5;;;;
249711848;146499314;2022-02-06 17:33:48;Роман К.;5;;;;
249711848;147691700;2022-02-08 16:43:24;Константин Ш.;5;;;;
249711848;149586777;2022-02-11 17:59:13;Альбина М.;5;;;;
249711848;149856383;2022-02-12 09:53:46;Анастасия К.;5;;;;
249711848;150512904;2022-02-13 12:52:31;Мария К.;5;;;;
249711848;150772051;2022-02-13 20:13:44;Ангелина Ч.;5;;;;
249711848;151885972;2022-02-15 13:26:15;ПД УДАЛЕНЫ;5;;;;
249711848;152086744;2022-02-15 18:47:27;Анастасия Ш.;5;;;;
249711848;152734388;2022-02-16 16:13:58; Виктория ;5;;;;
249711848;152757349;2022-02-16 16:47:11;idxpert;5;;Дары смерти ;Магией нельзя пользоваться вне Хогвартса ;
249711848;155799956;2022-02-21 12:48:30;Севилья Ш.;5;;;;
249711848;155865809;2022-02-21 14:24:13;Пользователь предпочёл скрыть свои данные;5;;;;
249711848;157883716;2022-02-24 20:54:44;Сергей П.;5;;;;
249711848;160400467;2022-03-01 10:25:10;Кристина П.;5;Дочке понравилась ;Большой ;Нет;
249711848;160546840;2022-03-01 14:10:28;Пользователь предпочёл скрыть свои данные;5;;;;
249711848;163189412;2022-03-06 09:30:18;Алия Б.;5;;;;
249711848;165126061;2022-03-09 15:16:05;Пользователь предпочёл скрыть свои данные;5;;;;
249711848;180690430;2022-04-01 07:58:54;Камалия Б.;5;;;;
249711848;183783911;2022-04-07 15:04:21;Роман Г.;3;;;качество не очень, но за свои деньги где то на 3.5 из 5;
249711848;191001913;2022-04-23 11:01:31;Тимофей М.;5;;;;
249711848;191162898;2022-04-23 19:47:45;Анна К.;5;;;;
249711848;191907986;2022-04-25 14:20:57;Андрей К.;4;;;;
271845594;39910913;2021-04-01 07:09:07;ксения ю.;5;;Это самый вкусный изюм, что я пробовала в жизни. Особенно, если его замочить в кипятке на чуть-чуть перед тем, как есть. С утра с овсянкой просто идеально;;
271845594;41838011;2021-04-13 17:03:14;Сашок;5;Изюм достаточно свежий: дата изготовления и дата использования указаны на втором фото.;Беру этот изюм не в первый раз! Брал на разных сайтах, здесь впервые. Народ, учитывайте, что платите в каждой единице товара за 2 пакета изюма, так что не так дорого получается. Вкус превосходный, советую. Изюм высушен в меру, мягкий, без косточек. Лично я ем его просто так, любители употребляют с творогом и тому подобным.;Не заметил.;"images/271845594/41838011/0.png;images/271845594/41838011/1.png"
271845594;41853696;2021-04-13 19:02:05;ольга к.;5;покупкой довольна,рекомендую.;вкусный,крупный.;попадаются плодоножки и косточки;"images/271845594/41853696/0.png;images/271845594/41853696/1.png;images/271845594/41853696/2.png;images/271845594/41853696/3.png;images/271845594/41853696/4.png;images/271845594/41853696/5.png"
271845594;44781918;2021-04-29 11:26:32;ЛЫЧЕВ Андрей;5;Изюм отличный. Взял для выпечки.;;;
271845594;46091714;2021-05-11 17:16:16;Елена И.;5;был бы дешевле взяла бы больше чем 2 пачки.;чистый,вкусный.;мало.;
271845594;46439701;2021-05-08 19:38:43;Татьяна Л.;5;Чистый, крупный изюм. ;Вкусный изюм;Не обнаружила;
271845594;47747214;2021-05-15 19:25:17;Ольга П.;4;не очень понравился;;в масле;
271845594;48750066;2021-05-23 16:51:17;Татьяна П.;5;;"
крупный,чистый";нет;images/271845594/48750066/0.png
271845594;48788101;2021-05-21 07:39:39;Панова Кристина;5;;крупный, сладкий;нет;
271845594;51341702;2021-06-03 11:02:46;Андрей Г.;5;;Хорошее качество ;;
271845594;54782268;2021-07-02 19:55:36;Галина Т.;5;вкусно.без косточек это главное;быстро;нет;images/271845594/54782268/0.png
271845594;55012741;2021-06-23 12:53:11;Галина М.;5;;Чистый, крупный ;Нет;
